"Plot Title: 86_3_s2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Absolute pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","Stopped (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
1,07/19/19 09:37:53 AM,94.139,13.365,,,,,
2,07/19/19 09:38:09 AM,,,Logged,,,,
3,07/19/19 09:47:53 AM,94.128,14.517,,,,,
4,07/19/19 09:57:53 AM,94.132,13.461,,,,,
5,07/19/19 10:07:53 AM,94.121,12.883,,,,,
6,07/19/19 10:17:53 AM,94.106,12.497,,,,,
7,07/19/19 10:27:53 AM,94.110,12.304,,,,,
8,07/19/19 10:37:53 AM,94.106,12.207,,,,,
9,07/19/19 10:47:53 AM,94.124,12.110,,,,,
10,07/19/19 10:57:53 AM,94.110,12.013,,,,,
11,07/19/19 11:07:53 AM,94.121,12.013,,,,,
12,07/19/19 11:17:53 AM,94.099,12.013,,,,,
13,07/19/19 11:27:53 AM,94.095,11.916,,,,,
14,07/19/19 11:37:53 AM,94.085,11.916,,,,,
15,07/19/19 11:47:53 AM,94.095,11.916,,,,,
16,07/19/19 11:57:53 AM,94.074,11.916,,,,,
17,07/19/19 12:07:53 PM,94.074,11.916,,,,,
18,07/19/19 12:17:53 PM,94.052,11.916,,,,,
19,07/19/19 12:27:53 PM,94.041,11.916,,,,,
20,07/19/19 12:37:53 PM,94.041,11.916,,,,,
21,07/19/19 12:47:53 PM,94.031,11.916,,,,,
22,07/19/19 12:57:53 PM,94.009,11.916,,,,,
23,07/19/19 01:07:53 PM,94.020,11.916,,,,,
24,07/19/19 01:17:53 PM,94.009,11.916,,,,,
25,07/19/19 01:27:53 PM,94.020,11.916,,,,,
26,07/19/19 01:37:53 PM,94.020,11.916,,,,,
27,07/19/19 01:47:53 PM,93.998,11.916,,,,,
28,07/19/19 01:57:53 PM,93.987,11.916,,,,,
