DateTime,Pressure_kPa,pressureBaro,pressureGauge,waterHeight,waterHeight2,waterDepth,waterDepth_m
2019-07-23T08:44:58Z,93.298,93.87065,-0.5726499999999959,-0.05837410805300671,0.008026503567787592,-0.5979734964322124,-0.5979734964322124
2019-07-23T08:54:58Z,93.298,93.886535,-0.5885349999999931,-0.059993374108052305,0.006407237512741998,-0.599592762487258,NA
2019-07-23T09:04:58Z,93.288,93.89,-0.6020000000000039,-0.061365953109072766,0.0050346585117215376,-0.6009653414882784,NA
2019-07-23T09:14:58Z,93.298,93.89501,-0.5970099999999974,-0.06085728848114142,0.005543323139652882,-0.6004566768603471,NA
2019-07-23T09:24:58Z,93.319,93.905185,-0.5861850000000004,-0.05975382262996946,0.0066467889908248465,-0.5993532110091752,NA
2019-07-23T09:34:58Z,93.308,93.917855,-0.609854999999996,-0.06216666666666626,0.004233944954128044,-0.6017660550458719,NA
2019-07-23T09:44:58Z,93.329,93.929185,-0.6001850000000104,-0.061180937818553556,0.005219673802240747,-0.6007803261977592,NA
2019-07-23T09:54:58Z,93.35,93.93935,-0.5893500000000103,-0.06007645259938942,0.006324159021404881,-0.599675840978595,NA
2019-07-23T10:04:58Z,93.319,93.92931,-0.6103099999999984,-0.062213047910295444,0.0041875637104988594,-0.6018124362895011,NA
2019-07-23T10:14:58Z,93.34,93.944535,-0.6045349999999985,-0.06162436289500494,0.004776248725789363,-0.6012237512742106,NA
2019-07-23T10:24:58Z,93.35,93.96553499999999,-0.6155349999999942,-0.06274566768603407,0.0036549439347602353,-0.6023450560652397,NA
2019-07-23T10:34:58Z,93.36,93.96566,-0.6056600000000003,-0.06173904179408769,0.00466156982670661,-0.6013384301732934,NA
2019-07-23T10:44:58Z,93.371,93.965,-0.5940000000000083,-0.06055045871559717,0.00585015290519713,-0.6001498470948029,NA
2019-07-23T10:54:58Z,93.381,93.98837999999999,-0.607379999999992,-0.0619143730886842,0.0044862385321101025,-0.6015137614678899,NA
2019-07-23T11:04:58Z,93.381,94.00135,-0.620350000000002,-0.06323649337410825,0.003164118246686054,-0.6028358817533139,NA
2019-07-23T11:14:58Z,93.412,94.020535,-0.6085349999999892,-0.06203211009174201,0.004368501529052292,-0.6016314984709477,NA
2019-07-23T11:24:58Z,93.422,94.02901,-0.6070100000000025,-0.061876656472987,0.004523955147807304,-0.6014760448521926,NA
2019-07-23T11:34:58Z,93.412,94.027495,-0.6154949999999957,-0.06274159021406683,0.0036590214067274696,-0.6023409785932725,NA
2019-07-23T11:44:58Z,93.412,94.01865,-0.6066499999999877,-0.061839959225279066,0.004560652395515237,-0.6014393476044847,NA
2019-07-23T11:54:58Z,93.422,94.03370000000001,-0.6117000000000132,-0.06235474006116343,0.004045871559630876,-0.6019541284403691,NA
2019-07-23T12:04:58Z,93.433,94.02865,-0.595649999999992,-0.060718654434249945,0.005681957186544358,-0.6003180428134556,NA
2019-07-23T12:14:58Z,93.433,94.03535000000001,-0.6023500000000013,-0.06140163098878708,0.004998980632007224,-0.6010010193679928,NA
2019-07-23T12:24:58Z,93.422,94.02865,-0.6066500000000019,-0.061839959225280516,0.004560652395513787,-0.6014393476044861,NA
2019-07-23T12:34:58Z,93.412,94.03869,-0.6266899999999964,-0.06388277268093745,0.0025178389398568535,-0.6034821610601431,NA
2019-07-23T12:44:58Z,93.433,94.04935,-0.6163499999999971,-0.06282874617736973,0.0035718654434245684,-0.6024281345565754,NA
2019-07-23T12:54:58Z,93.433,94.051,-0.617999999999995,-0.06299694189602395,0.003403669724770353,-0.6025963302752296,NA
2019-07-23T13:04:58Z,93.433,94.04265,-0.6096499999999878,-0.062145769622832595,0.004254841997961709,-0.6017451580020383,NA
2019-07-23T13:14:58Z,93.433,94.041,-0.6079999999999899,-0.06197757390417837,0.004423037716615931,-0.6015769622833841,NA
2019-07-23T13:24:58Z,93.402,94.031815,-0.6298149999999936,-0.06420132517838874,0.0021992864424055653,-0.6038007135575945,NA
2019-07-23T13:34:58Z,93.422,94.03334000000001,-0.6113400000000127,-0.062318042813456945,0.004082568807337358,-0.6019174311926626,NA
2019-07-23T13:44:58Z,93.412,94.01646500000001,-0.6044650000000047,-0.061617227319062655,0.004783384301731648,-0.6012166156982683,NA
2019-07-23T13:54:58Z,93.381,94.002145,-0.6211449999999985,-0.06331753312945958,0.003083078491334726,-0.6029169215086653,NA
2019-07-23T14:04:58Z,93.412,94.00835000000001,-0.596350000000001,-0.06079001019368002,0.005610601427114281,-0.6003893985728856,NA
2019-07-23T14:14:58Z,93.412,94.03004,-0.6180399999999935,-0.06300101936799118,0.0033995922528031186,-0.6026004077471969,NA
2019-07-23T14:24:58Z,93.381,94.01646500000001,-0.6354650000000106,-0.06477726809378294,0.0016233435270113644,-0.6043766564729887,NA
