"Plot Title: 86.3.s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
103,01/29/20 02:33:43 AM,94.446,3.472,,,,
104,01/29/20 02:43:43 AM,94.435,3.472,,,,
105,01/29/20 02:53:43 AM,94.435,3.472,,,,
106,01/29/20 03:03:43 AM,94.425,3.472,,,,
107,01/29/20 03:13:43 AM,94.435,3.472,,,,
108,01/29/20 03:23:43 AM,94.446,3.472,,,,
109,01/29/20 03:33:43 AM,94.446,3.472,,,,
110,01/29/20 03:43:43 AM,94.446,3.472,,,,
111,01/29/20 03:53:43 AM,94.457,3.472,,,,
112,01/29/20 04:03:43 AM,94.468,3.472,,,,
113,01/29/20 04:13:43 AM,94.489,3.472,,,,
114,01/29/20 04:23:43 AM,94.489,3.472,,,,
115,01/29/20 04:33:43 AM,94.489,3.472,,,,
116,01/29/20 04:43:43 AM,94.489,3.472,,,,
117,01/29/20 04:53:43 AM,94.489,3.472,,,,
118,01/29/20 05:03:43 AM,94.511,3.472,,,,
119,01/29/20 05:13:43 AM,94.500,3.472,,,,
120,01/29/20 05:23:43 AM,94.522,3.472,,,,
121,01/29/20 05:33:43 AM,94.522,3.472,,,,
122,01/29/20 05:43:43 AM,94.522,3.472,,,,
123,01/29/20 05:53:43 AM,94.565,3.472,,,,
124,01/29/20 06:03:43 AM,94.554,3.472,,,,
125,01/29/20 06:13:43 AM,94.576,3.472,,,,
126,01/29/20 06:23:43 AM,94.597,3.472,,,,
127,01/29/20 06:33:43 AM,94.608,3.472,,,,
128,01/29/20 06:43:43 AM,94.619,3.472,,,,
129,01/29/20 06:53:43 AM,94.630,3.472,,,,
130,01/29/20 07:03:43 AM,94.651,3.472,,,,
131,01/29/20 07:13:43 AM,94.662,3.472,,,,
132,01/29/20 07:23:43 AM,94.651,3.472,,,,
133,01/29/20 07:33:43 AM,94.662,3.472,,,,
134,01/29/20 07:43:43 AM,94.662,3.472,,,,
135,01/29/20 07:53:43 AM,94.673,3.472,,,,
136,01/29/20 08:03:43 AM,94.684,3.472,,,,
137,01/29/20 08:13:43 AM,94.694,3.472,,,,
138,01/29/20 08:23:43 AM,94.716,3.472,,,,
139,01/29/20 08:33:43 AM,94.727,3.472,,,,
140,01/29/20 08:43:43 AM,94.738,3.472,,,,
141,01/29/20 08:53:43 AM,94.705,3.472,,,,
142,01/29/20 09:03:43 AM,94.738,3.472,,,,
143,01/29/20 09:13:43 AM,94.748,3.472,,,,
144,01/29/20 09:23:43 AM,94.759,3.472,,,,
145,01/29/20 09:33:43 AM,94.770,3.472,,,,
146,01/29/20 09:43:43 AM,94.792,3.472,,,,
147,01/29/20 09:53:43 AM,94.759,3.472,,,,
148,01/29/20 10:03:43 AM,94.770,3.472,,,,
149,01/29/20 10:13:43 AM,94.792,3.472,,,,
150,01/29/20 10:23:43 AM,94.770,3.472,,,,
151,01/29/20 10:33:43 AM,94.802,3.472,,,,
152,01/29/20 10:43:43 AM,94.781,3.472,,,,
153,01/29/20 10:53:43 AM,94.792,3.472,,,,
154,01/29/20 11:03:43 AM,94.792,3.472,,,,
155,01/29/20 11:13:43 AM,94.781,3.472,,,,
156,01/29/20 11:23:43 AM,94.802,3.472,,,,
157,01/29/20 11:33:43 AM,94.792,3.472,,,,
158,01/29/20 11:43:43 AM,94.792,3.472,,,,
159,01/29/20 11:53:43 AM,94.792,3.472,,,,
160,01/29/20 12:03:43 PM,94.759,3.472,,,,
161,01/29/20 12:13:43 PM,94.781,3.472,,,,
162,01/29/20 12:23:43 PM,94.770,3.472,,,,
163,01/29/20 12:33:43 PM,94.759,3.472,,,,
164,01/29/20 12:43:43 PM,94.748,3.472,,,,
165,01/29/20 12:53:43 PM,94.759,3.472,,,,
166,01/29/20 01:03:43 PM,94.748,3.472,,,,
167,01/29/20 01:13:43 PM,94.748,3.472,,,,
168,01/29/20 01:23:43 PM,94.759,3.472,,,,
169,01/29/20 01:33:43 PM,94.738,3.472,,,,
170,01/29/20 01:43:43 PM,94.759,3.472,,,,
171,01/29/20 01:53:43 PM,94.770,3.472,,,,
172,01/29/20 02:03:43 PM,94.770,3.472,,,,
173,01/29/20 02:13:43 PM,94.770,3.472,,,,
174,01/29/20 02:23:43 PM,94.792,3.472,,,,
175,01/29/20 02:33:43 PM,94.813,3.472,,,,
176,01/29/20 02:43:43 PM,94.813,3.472,,,,
177,01/29/20 02:53:43 PM,94.802,3.472,,,,
178,01/29/20 03:03:43 PM,94.824,3.472,,,,
179,01/29/20 03:13:43 PM,94.824,3.472,,,,
180,01/29/20 03:23:43 PM,94.835,3.472,,,,
181,01/29/20 03:33:43 PM,94.846,3.472,,,,
182,01/29/20 03:43:43 PM,94.867,3.472,,,,
183,01/29/20 03:53:43 PM,94.867,3.472,,,,
184,01/29/20 04:03:43 PM,94.878,3.472,,,,
185,01/29/20 04:13:43 PM,94.910,3.472,,,,
186,01/29/20 04:23:43 PM,94.889,3.472,,,,
187,01/29/20 04:33:43 PM,94.889,3.472,,,,
188,01/29/20 04:43:43 PM,94.899,3.472,,,,
189,01/29/20 04:53:43 PM,94.921,3.472,,,,
190,01/29/20 05:03:43 PM,94.932,3.472,,,,
191,01/29/20 05:13:43 PM,94.921,3.472,,,,
192,01/29/20 05:23:43 PM,94.921,3.472,,,,
193,01/29/20 05:33:43 PM,94.932,3.472,,,,
194,01/29/20 05:43:43 PM,94.932,3.472,,,,
195,01/29/20 05:53:43 PM,94.932,3.472,,,,
196,01/29/20 06:03:43 PM,94.943,3.472,,,,
197,01/29/20 06:13:43 PM,94.964,3.472,,,,
198,01/29/20 06:23:43 PM,94.953,3.472,,,,
199,01/29/20 06:33:43 PM,94.975,3.472,,,,
200,01/29/20 06:43:43 PM,94.975,3.472,,,,
201,01/29/20 06:53:43 PM,94.997,3.472,,,,
202,01/29/20 07:03:43 PM,95.040,3.472,,,,
203,01/29/20 07:13:43 PM,95.051,3.472,,,,
204,01/29/20 07:23:43 PM,95.040,3.472,,,,
205,01/29/20 07:33:43 PM,95.072,3.472,,,,
206,01/29/20 07:43:43 PM,95.105,3.472,,,,
207,01/29/20 07:53:43 PM,95.083,3.472,,,,
208,01/29/20 08:03:43 PM,95.105,3.472,,,,
209,01/29/20 08:13:43 PM,95.105,3.472,,,,
210,01/29/20 08:23:43 PM,95.137,3.472,,,,
211,01/29/20 08:33:43 PM,95.148,3.472,,,,
212,01/29/20 08:43:43 PM,95.158,3.472,,,,
213,01/29/20 08:53:43 PM,95.158,3.472,,,,
214,01/29/20 09:03:43 PM,95.191,3.472,,,,
215,01/29/20 09:13:43 PM,95.191,3.472,,,,
216,01/29/20 09:23:43 PM,95.191,3.472,,,,
217,01/29/20 09:33:43 PM,95.212,3.472,,,,
218,01/29/20 09:43:43 PM,95.212,3.472,,,,
219,01/29/20 09:53:43 PM,95.223,3.472,,,,
220,01/29/20 10:03:43 PM,95.223,3.472,,,,
221,01/29/20 10:13:43 PM,95.212,3.472,,,,
222,01/29/20 10:23:43 PM,95.223,3.472,,,,
223,01/29/20 10:33:43 PM,95.212,3.472,,,,
224,01/29/20 10:43:43 PM,95.223,3.472,,,,
225,01/29/20 10:53:43 PM,95.245,3.472,,,,
226,01/29/20 11:03:43 PM,95.234,3.472,,,,
227,01/29/20 11:13:43 PM,95.223,3.472,,,,
228,01/29/20 11:23:43 PM,95.223,3.472,,,,
229,01/29/20 11:33:43 PM,95.234,3.472,,,,
230,01/29/20 11:43:43 PM,95.223,3.472,,,,
231,01/29/20 11:53:43 PM,95.245,3.472,,,,
232,01/30/20 12:03:43 AM,95.234,3.472,,,,
233,01/30/20 12:13:43 AM,95.245,3.472,,,,
234,01/30/20 12:23:43 AM,95.234,3.472,,,,
235,01/30/20 12:33:43 AM,95.234,3.472,,,,
236,01/30/20 12:43:43 AM,95.256,3.472,,,,
237,01/30/20 12:53:43 AM,95.266,3.472,,,,
238,01/30/20 01:03:43 AM,95.288,3.472,,,,
239,01/30/20 01:13:43 AM,95.288,3.472,,,,
240,01/30/20 01:23:43 AM,95.277,3.472,,,,
241,01/30/20 01:33:43 AM,95.299,3.472,,,,
242,01/30/20 01:43:43 AM,95.299,3.472,,,,
243,01/30/20 01:53:43 AM,95.288,3.472,,,,
244,01/30/20 02:03:43 AM,95.310,3.472,,,,
245,01/30/20 02:13:43 AM,95.299,3.472,,,,
246,01/30/20 02:23:43 AM,95.310,3.472,,,,
247,01/30/20 02:33:43 AM,95.342,3.472,,,,
248,01/30/20 02:43:43 AM,95.310,3.472,,,,
249,01/30/20 02:53:43 AM,95.320,3.472,,,,
250,01/30/20 03:03:43 AM,95.320,3.472,,,,
251,01/30/20 03:13:43 AM,95.331,3.472,,,,
252,01/30/20 03:23:43 AM,95.342,3.472,,,,
253,01/30/20 03:33:43 AM,95.331,3.472,,,,
254,01/30/20 03:43:43 AM,95.320,3.472,,,,
255,01/30/20 03:53:43 AM,95.320,3.472,,,,
256,01/30/20 04:03:43 AM,95.331,3.472,,,,
257,01/30/20 04:13:43 AM,95.320,3.472,,,,
258,01/30/20 04:23:43 AM,95.331,3.472,,,,
259,01/30/20 04:33:43 AM,95.342,3.472,,,,
260,01/30/20 04:43:43 AM,95.331,3.472,,,,
261,01/30/20 04:53:43 AM,95.331,3.472,,,,
262,01/30/20 05:03:43 AM,95.342,3.472,,,,
263,01/30/20 05:13:43 AM,95.342,3.472,,,,
264,01/30/20 05:23:43 AM,95.353,3.472,,,,
265,01/30/20 05:33:43 AM,95.353,3.472,,,,
266,01/30/20 05:43:43 AM,95.363,3.472,,,,
267,01/30/20 05:53:43 AM,95.363,3.472,,,,
268,01/30/20 06:03:43 AM,95.374,3.472,,,,
269,01/30/20 06:13:43 AM,95.385,3.472,,,,
270,01/30/20 06:23:43 AM,95.374,3.472,,,,
271,01/30/20 06:33:43 AM,95.396,3.472,,,,
272,01/30/20 06:43:43 AM,95.417,3.472,,,,
273,01/30/20 06:53:43 AM,95.428,3.472,,,,
274,01/30/20 07:03:43 AM,95.439,3.472,,,,
275,01/30/20 07:13:43 AM,95.471,3.472,,,,
276,01/30/20 07:23:43 AM,95.461,3.472,,,,
277,01/30/20 07:33:43 AM,95.461,3.472,,,,
278,01/30/20 07:43:43 AM,95.471,3.472,,,,
279,01/30/20 07:53:43 AM,95.493,3.472,,,,
280,01/30/20 08:03:43 AM,95.471,3.472,,,,
281,01/30/20 08:13:43 AM,95.493,3.472,,,,
282,01/30/20 08:23:43 AM,95.493,3.472,,,,
283,01/30/20 08:33:43 AM,95.493,3.472,,,,
284,01/30/20 08:43:43 AM,95.493,3.472,,,,
285,01/30/20 08:53:43 AM,95.482,3.472,,,,
286,01/30/20 09:03:43 AM,95.504,3.472,,,,
287,01/30/20 09:13:43 AM,95.515,3.472,,,,
288,01/30/20 09:23:43 AM,95.515,3.472,,,,
289,01/30/20 09:33:43 AM,95.515,3.472,,,,
290,01/30/20 09:43:43 AM,95.536,3.472,,,,
291,01/30/20 09:53:43 AM,95.536,3.472,,,,
292,01/30/20 10:03:43 AM,95.558,3.472,,,,
293,01/30/20 10:13:43 AM,95.558,3.472,,,,
294,01/30/20 10:23:43 AM,95.579,3.472,,,,
295,01/30/20 10:33:43 AM,95.579,3.472,,,,
296,01/30/20 10:43:43 AM,95.569,3.472,,,,
297,01/30/20 10:53:43 AM,95.579,3.472,,,,
298,01/30/20 11:03:43 AM,95.558,3.472,,,,
299,01/30/20 11:13:43 AM,95.558,3.472,,,,
300,01/30/20 11:23:43 AM,95.536,3.472,,,,
301,01/30/20 11:33:43 AM,95.558,3.472,,,,
302,01/30/20 11:43:43 AM,95.547,3.472,,,,
303,01/30/20 11:53:43 AM,95.536,3.472,,,,
304,01/30/20 12:03:43 PM,95.536,3.472,,,,
305,01/30/20 12:13:43 PM,95.515,3.472,,,,
306,01/30/20 12:23:43 PM,95.515,3.472,,,,
307,01/30/20 12:33:43 PM,95.504,3.472,,,,
308,01/30/20 12:43:43 PM,95.504,3.472,,,,
309,01/30/20 12:53:43 PM,95.504,3.472,,,,
310,01/30/20 01:03:43 PM,95.504,3.472,,,,
311,01/30/20 01:13:43 PM,95.515,3.472,,,,
312,01/30/20 01:23:43 PM,95.493,3.472,,,,
313,01/30/20 01:33:43 PM,95.493,3.472,,,,
314,01/30/20 01:43:43 PM,95.493,3.472,,,,
315,01/30/20 01:53:43 PM,95.515,3.472,,,,
316,01/30/20 02:03:43 PM,95.515,3.472,,,,
317,01/30/20 02:13:43 PM,95.515,3.472,,,,
318,01/30/20 02:23:43 PM,95.515,3.472,,,,
319,01/30/20 02:33:43 PM,95.515,3.472,,,,
320,01/30/20 02:43:43 PM,95.536,3.472,,,,
321,01/30/20 02:53:43 PM,95.536,3.472,,,,
322,01/30/20 03:03:43 PM,95.536,3.472,,,,
323,01/30/20 03:13:43 PM,95.547,3.472,,,,
324,01/30/20 03:23:43 PM,95.558,3.472,,,,
325,01/30/20 03:33:43 PM,95.569,3.472,,,,
326,01/30/20 03:43:43 PM,95.579,3.472,,,,
327,01/30/20 03:53:43 PM,95.590,3.472,,,,
328,01/30/20 04:03:43 PM,95.579,3.472,,,,
329,01/30/20 04:13:43 PM,95.590,3.472,,,,
330,01/30/20 04:23:43 PM,95.590,3.472,,,,
331,01/30/20 04:33:43 PM,95.590,3.472,,,,
332,01/30/20 04:43:43 PM,95.590,3.472,,,,
333,01/30/20 04:53:43 PM,95.579,3.472,,,,
334,01/30/20 05:03:43 PM,95.590,3.472,,,,
335,01/30/20 05:13:43 PM,95.558,3.472,,,,
336,01/30/20 05:23:43 PM,95.590,3.472,,,,
337,01/30/20 05:33:43 PM,95.590,3.472,,,,
338,01/30/20 05:43:43 PM,95.590,3.472,,,,
339,01/30/20 05:53:43 PM,95.601,3.472,,,,
340,01/30/20 06:03:43 PM,95.601,3.472,,,,
341,01/30/20 06:13:43 PM,95.579,3.472,,,,
342,01/30/20 06:23:43 PM,95.590,3.472,,,,
343,01/30/20 06:33:43 PM,95.579,3.472,,,,
344,01/30/20 06:43:43 PM,95.579,3.472,,,,
345,01/30/20 06:53:43 PM,95.579,3.472,,,,
346,01/30/20 07:03:43 PM,95.579,3.472,,,,
347,01/30/20 07:13:43 PM,95.590,3.472,,,,
348,01/30/20 07:23:43 PM,95.569,3.472,,,,
349,01/30/20 07:33:43 PM,95.579,3.472,,,,
350,01/30/20 07:43:43 PM,95.590,3.472,,,,
351,01/30/20 07:53:43 PM,95.590,3.472,,,,
352,01/30/20 08:03:43 PM,95.601,3.472,,,,
353,01/30/20 08:13:43 PM,95.590,3.472,,,,
354,01/30/20 08:23:43 PM,95.590,3.472,,,,
355,01/30/20 08:33:43 PM,95.612,3.472,,,,
356,01/30/20 08:43:43 PM,95.612,3.472,,,,
357,01/30/20 08:53:43 PM,95.622,3.472,,,,
358,01/30/20 09:03:43 PM,95.601,3.472,,,,
359,01/30/20 09:13:43 PM,95.612,3.472,,,,
360,01/30/20 09:23:43 PM,95.601,3.472,,,,
361,01/30/20 09:33:43 PM,95.612,3.472,,,,
362,01/30/20 09:43:43 PM,95.590,3.472,,,,
363,01/30/20 09:53:43 PM,95.590,3.472,,,,
364,01/30/20 10:03:43 PM,95.590,3.472,,,,
365,01/30/20 10:13:43 PM,95.590,3.472,,,,
366,01/30/20 10:23:43 PM,95.579,3.472,,,,
367,01/30/20 10:33:43 PM,95.579,3.472,,,,
368,01/30/20 10:43:43 PM,95.579,3.472,,,,
369,01/30/20 10:53:43 PM,95.590,3.472,,,,
370,01/30/20 11:03:43 PM,95.590,3.472,,,,
371,01/30/20 11:13:43 PM,95.579,3.472,,,,
372,01/30/20 11:23:43 PM,95.579,3.472,,,,
