"Plot Title: 86_3_s2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Absolute pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","Stopped (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
1,03/11/19 01:00:00 PM,93.959,3.155,Logged,,,,
2,03/11/19 01:10:00 PM,93.938,3.155,,,,,
3,03/11/19 01:20:00 PM,93.959,3.155,,,,,
4,03/11/19 01:30:00 PM,93.938,3.155,,,,,
5,03/11/19 01:40:00 PM,93.927,3.155,,,,,
6,03/11/19 01:50:00 PM,93.927,3.155,,,,,
7,03/11/19 02:00:00 PM,93.927,3.155,,,,,
8,03/11/19 02:10:00 PM,93.927,3.155,,,,,
9,03/11/19 02:20:00 PM,93.905,3.155,,,,,
10,03/11/19 02:30:00 PM,93.916,3.155,,,,,
11,03/11/19 02:40:00 PM,93.905,3.155,,,,,
12,03/11/19 02:50:00 PM,93.905,3.155,,,,,
13,03/11/19 03:00:00 PM,93.916,3.155,,,,,
14,03/11/19 03:10:00 PM,93.916,3.155,,,,,
15,03/11/19 03:20:00 PM,93.916,3.155,,,,,
16,03/11/19 03:30:00 PM,93.916,3.155,,,,,
17,03/11/19 03:40:00 PM,93.927,3.155,,,,,
18,03/11/19 03:50:00 PM,93.927,3.155,,,,,
19,03/11/19 04:00:00 PM,93.948,3.155,,,,,
20,03/11/19 04:10:00 PM,93.938,3.155,,,,,
21,03/11/19 04:20:00 PM,93.938,3.155,,,,,
22,03/11/19 04:30:00 PM,93.938,3.155,,,,,
23,03/11/19 04:40:00 PM,93.948,3.155,,,,,
24,03/11/19 04:50:00 PM,93.948,3.155,,,,,
25,03/11/19 05:00:00 PM,93.970,3.155,,,,,
26,03/11/19 05:10:00 PM,93.970,3.155,,,,,
27,03/11/19 05:20:00 PM,93.959,3.155,,,,,
28,03/11/19 05:30:00 PM,93.970,3.155,,,,,
29,03/11/19 05:40:00 PM,93.981,3.155,,,,,
30,03/11/19 05:50:00 PM,94.002,3.155,,,,,
31,03/11/19 06:00:00 PM,94.013,3.155,,,,,
32,03/11/19 06:10:00 PM,94.024,3.155,,,,,
