"Plot Title: 86_4_s1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766683, SEN S/N: 10766683, LBL: pressure)","Temp, °C (LGR S/N: 10766683, SEN S/N: 10766683, LBL: temp)","Coupler Detached (LGR S/N: 10766683, SEN S/N: 10766683)","End Of File (LGR S/N: 10766683, SEN S/N: 10766683)"
97,03/11/19 01:00:00 PM,93.614,3.683,,
98,03/11/19 01:00:00 PM,93.532,3.683,,
99,03/11/19 01:00:00 PM,93.491,3.683,,
100,03/11/19 01:00:00 PM,93.480,3.683,,
101,03/11/19 01:00:00 PM,93.501,3.683,,
102,03/11/19 01:00:00 PM,93.511,3.683,,
103,03/11/19 01:00:00 PM,93.522,3.683,,
104,03/11/19 01:00:00 PM,93.522,3.683,,
105,03/11/19 01:00:00 PM,93.480,3.683,,
106,03/11/19 01:00:00 PM,93.460,3.683,,
107,03/11/19 01:00:00 PM,93.429,3.683,,
108,03/11/19 01:00:00 PM,93.357,3.683,,
109,03/11/19 01:00:00 PM,93.398,3.683,,
110,03/11/19 01:00:00 PM,93.409,3.683,,
111,03/11/19 01:00:00 PM,93.357,3.683,,
112,03/11/19 01:00:00 PM,93.296,3.683,,
113,03/11/19 01:00:00 PM,93.368,3.683,,
114,03/11/19 01:00:00 PM,93.378,3.683,,
115,03/11/19 01:00:00 PM,93.368,3.683,,
116,03/11/19 01:00:00 PM,93.409,3.683,,
117,03/11/19 01:00:00 PM,93.398,3.683,,
118,03/11/19 01:00:00 PM,93.460,3.683,,
119,03/11/19 01:00:00 PM,93.501,3.683,,
120,03/11/19 01:00:00 PM,93.583,3.683,,
121,03/11/19 01:00:00 PM,93.634,3.683,,
122,03/11/19 01:00:00 PM,93.675,3.683,,
123,03/11/19 01:00:00 PM,93.706,3.683,,
124,03/11/19 01:00:00 PM,93.768,3.683,,
125,03/11/19 01:00:00 PM,93.809,3.683,,
126,03/11/19 01:00:00 PM,93.891,3.683,,
127,03/11/19 01:00:00 PM,93.963,3.683,,
128,03/11/19 01:00:00 PM,94.045,3.683,,
129,03/11/19 01:00:00 PM,94.065,3.683,,
130,03/11/19 01:00:00 PM,94.096,3.683,,
131,03/11/19 01:00:00 PM,94.096,3.683,,
132,03/11/19 01:00:00 PM,94.086,3.683,,
133,03/11/19 01:00:00 PM,94.076,3.683,,
134,03/11/19 01:00:00 PM,94.106,3.683,,
135,03/11/19 01:00:00 PM,94.137,3.683,,
136,03/11/19 01:00:00 PM,94.168,3.683,,
137,03/11/19 01:00:00 PM,94.219,3.683,,
138,03/11/19 01:00:00 PM,94.301,3.683,,
139,03/11/19 01:00:00 PM,94.383,3.683,,
140,03/11/19 01:00:00 PM,94.394,3.683,,
141,03/11/19 01:00:00 PM,94.463,3.578,,
142,03/11/19 01:00:00 PM,94.463,3.578,,
143,03/11/19 01:00:00 PM,94.494,3.578,,
144,03/11/19 01:00:00 PM,94.527,3.683,,
145,03/11/19 01:00:00 PM,94.505,3.578,,
146,03/11/19 01:00:00 PM,94.494,3.578,,
147,03/11/19 01:00:00 PM,94.474,3.578,,
148,03/11/19 01:00:00 PM,94.474,3.578,,
149,03/11/19 01:00:00 PM,94.463,3.578,,
150,03/11/19 01:00:00 PM,94.515,3.578,,
151,03/11/19 01:00:00 PM,94.525,3.578,,
152,03/11/19 01:00:00 PM,94.576,3.578,,
153,03/11/19 01:00:00 PM,94.659,3.578,,
154,03/11/19 01:00:00 PM,94.659,3.578,,
155,03/11/19 01:00:00 PM,94.669,3.578,,
156,03/11/19 01:00:00 PM,94.669,3.578,,
157,03/11/19 01:00:00 PM,94.628,3.578,,
158,03/11/19 01:00:00 PM,94.648,3.578,,
159,03/11/19 01:00:00 PM,94.638,3.578,,
160,03/11/19 01:00:00 PM,94.648,3.578,,
161,03/11/19 01:00:00 PM,94.648,3.578,,
162,03/11/19 01:00:00 PM,94.710,3.578,,
163,03/11/19 01:00:00 PM,94.771,3.578,,
164,03/11/19 01:00:00 PM,94.812,3.578,,
165,03/11/19 01:00:00 PM,94.874,3.578,,
166,03/11/19 01:00:00 PM,94.864,3.578,,
167,03/11/19 01:00:00 PM,94.895,3.578,,
168,03/11/19 01:00:00 PM,94.905,3.578,,
169,03/11/19 01:00:00 PM,94.874,3.578,,
170,03/11/19 01:00:00 PM,94.884,3.578,,
171,03/11/19 01:00:00 PM,94.864,3.578,,
172,03/11/19 01:00:00 PM,94.864,3.578,,
173,03/11/19 01:00:00 PM,94.884,3.578,,
174,03/11/19 01:00:00 PM,94.946,3.578,,
175,03/11/19 01:00:00 PM,94.966,3.578,,
176,03/11/19 01:00:00 PM,95.018,3.578,,
177,03/11/19 01:00:00 PM,95.069,3.578,,
178,03/11/19 01:00:00 PM,95.120,3.578,,
179,03/11/19 01:00:00 PM,95.162,3.578,,
180,03/11/19 01:00:00 PM,95.162,3.578,,
181,03/11/19 01:00:00 PM,95.182,3.578,,
182,03/11/19 01:00:00 PM,95.192,3.578,,
183,03/11/19 01:00:00 PM,95.172,3.578,,
184,03/11/19 01:00:00 PM,95.162,3.578,,
185,03/11/19 01:00:00 PM,95.203,3.578,,
186,03/11/19 01:00:00 PM,95.233,3.578,,
187,03/11/19 01:00:00 PM,95.274,3.578,,
188,03/11/19 01:00:00 PM,95.326,3.578,,
189,03/11/19 01:00:00 PM,95.367,3.578,,
190,03/11/19 01:00:00 PM,95.377,3.578,,
191,03/11/19 01:00:00 PM,95.398,3.578,,
192,03/11/19 01:00:00 PM,95.408,3.578,,
193,03/11/19 01:00:00 PM,95.387,3.578,,
194,03/11/19 01:00:00 PM,95.357,3.578,,
195,03/11/19 01:00:00 PM,95.336,3.578,,
196,03/11/19 01:00:00 PM,95.326,3.578,,
197,03/11/19 01:00:00 PM,95.326,3.578,,
198,03/11/19 01:00:00 PM,95.377,3.578,,
199,03/11/19 01:00:00 PM,95.398,3.578,,
200,03/11/19 01:00:00 PM,95.418,3.578,,
201,03/11/19 01:00:00 PM,95.459,3.578,,
202,03/11/19 01:00:00 PM,95.449,3.578,,
203,03/11/19 01:00:00 PM,95.470,3.578,,
204,03/11/19 01:00:00 PM,95.470,3.578,,
205,03/11/19 01:00:00 PM,95.541,3.578,,
206,03/11/19 01:00:00 PM,95.511,3.578,,
207,03/11/19 01:00:00 PM,95.500,3.578,,
208,03/11/19 01:00:00 PM,95.459,3.578,,
